word vector file:		GiTuCo.filt.uniq.stemB.format_S_Rcuspod.samp44p_w5_v200_mc10_i5_cbow.w2v.vec
corpus file:			GiTuCo.filt.uniq.stemB.sample
input file:				_arg_verb_list_50x100
minimum sample size:	30
minimum context size:	15
window size:			20
filters:				cuspod
is keyword included?	true
PCA variance threshold:	0.45
number of threads:		8

arg	verb	sample size	argComp	verbComp	phraseAvgComp	phrasePCAcomp
cehalet:0	ak:v	null	null	null	null	null
meymenetsizliK:0	ak:v	null	null	null	null	null
ırmaK:0	ak:v	null	null	null	null	null
gözyaşı&:6	ak:v	null	null	null	null	null
varoşluK:0	ak:v	null	null	null	null	null
bur$un:3	ak:v	null	null	null	null	null
petrôl:0	ak:v	null	null	null	null	null
bal:0	ak:v	null	null	null	null	null
saçı:2	ak:v	null	null	null	null	null
kara:1	ak:v	null	null	null	null	null
ceyhan:2	ak:v	null	null	null	null	null
mürekkeP:0	ak:v	null	null	null	null	null
parti:0	ak:v	null	null	null	null	null
bur$un:6	ak:v	null	null	null	null	null
avuÇ:3	ak:v	null	null	null	null	null
lav:0	ak:v	null	null	null	null	null
gözyaşı&:0	ak:v	null	null	null	null	null
satın:0	al:v	4	null	null	null	null
yer:v	al:v	19	null	null	null	null
nefes:0	al:v	3	null	null	null	null
ciddi:2	al:v	1	null	null	null	null
zevk:0	al:v	4	null	null	null	null
key$if:0	al:v	1	null	null	null	null
nasiP:1	al:v	null	null	null	null	null
dikkât:2	al:v	2	null	null	null	null
kalem:2	al:v	2	null	null	null	null
karar:0	al:v	1	null	null	null	null
gözE:v	al:v	3	null	null	null	null
önlem:0	al:v	null	null	null	null	null
altın:2	al:v	2	null	null	null	null
yer:1	al:v	2	null	null	null	null
duş:0	al:v	null	null	null	null	null
elE:v	al:v	2	null	null	null	null
maaş:0	al:v	2	null	null	null	null
puan:0	al:v	2	null	null	null	null
hafif:2	al:v	null	null	null	null	null
bilet:v	al:v	null	null	null	null	null
rôl:0	al:v	null	null	null	null	null
ceza:0	al:v	2	null	null	null	null
intikam:1	al:v	null	null	null	null	null
kilo:0	al:v	1	null	null	null	null
oy:v	al:v	1	null	null	null	null
ödül:1	al:v	2	null	null	null	null
intikam:0	al:v	1	null	null	null	null
askı:2	al:v	null	null	null	null	null
baz:0	al:v	1	null	null	null	null
tedbir:0	al:v	null	null	null	null	null
ödül:0	al:v	null	null	null	null	null
risk:0	al:v	null	null	null	null	null
eğitim:0	al:v	null	null	null	null	null
hâl0:0	al:v	2	null	null	null	null
ders:0	al:v	2	null	null	null	null
hali:1	al:v	null	null	null	null	null
garanti:2	al:v	null	null	null	null	null
el:2	al:v	2	null	null	null	null
abdest:0	al:v	null	null	null	null	null
verim:0	al:v	1	null	null	null	null
kucaK:2	al:v	null	null	null	null	null
karşılıK:1	al:v	null	null	null	null	null
kupa:1	al:v	1	null	null	null	null
randevu:0	al:v	null	null	null	null	null
ak$ıl:0	al:v	null	null	null	null	null
takiP:2	al:v	null	null	null	null	null
yakışıK:0	al:v	null	null	null	null	null
önlem:1	al:v	null	null	null	null	null
aklı:0	al:v	null	null	null	null	null
hız:1	al:v	null	null	null	null	null
ti:2	al:v	1	null	null	null	null
gaz:1	al:v	null	null	null	null	null
el:3	al:v	4	null	null	null	null
gözaltı&:2	al:v	1	null	null	null	null
iz$in:0	al:v	1	null	null	null	null
onay:1	al:v	null	null	null	null	null
rehin:0	al:v	1	null	null	null	null
görev:0	al:v	2	null	null	null	null
cevaP:1	al:v	null	null	null	null	null
para:1	al:v	1	null	null	null	null
öÇ:0	al:v	null	null	null	null	null
elim:2	al:v	null	null	null	null	null
desteK:1	al:v	null	null	null	null	null
esir:v	al:v	null	null	null	null	null
duş:1	al:v	null	null	null	null	null
kotasyon:5	al:v	null	null	null	null	null
ödünÇ:0	al:v	null	null	null	null	null
görev:3	al:v	null	null	null	null	null
alkôl:0	al:v	null	null	null	null	null
galibiyet:0	al:v	null	null	null	null	null
karar:v	al:v	3	null	null	null	null
bilet:1	al:v	null	null	null	null	null
haz0:0	al:v	null	null	null	null	null
sağlam:2	al:v	null	null	null	null	null
sorumluluK:0	al:v	null	null	null	null	null
galibiyet:1	al:v	null	null	null	null	null
geri:0	al:v	null	null	null	null	null
ah:1	al:v	null	null	null	null	null
sıra:1	al:v	null	null	null	null	null
sessiz:2	al:v	null	null	null	null	null
haber:1	al:v	null	null	null	null	null
muhabir:6	al:v	1	null	null	null	null
